Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,time
9,6,3,6,2,7,2,3,1,0.621414985445744,2000-01-14
5,9,3,10,3,1,10,10,4,0.5998827544069725,2000-02-10
1,0,10,8,1,7,2,2,6,0.48768217626404864,2000-01-20
5,5,9,3,2,8,6,7,4,0.06281386892763785,2000-02-12
1,3,1,8,2,3,3,4,5,0.7001516115392037,2000-01-21
3,9,2,7,3,3,7,9,2,0.1199619233541066,2000-01-18
8,4,6,3,6,3,3,4,7,0.8514068424702459,2000-02-16
3,8,4,7,7,5,0,8,4,0.3983901301808851,2000-01-23
5,3,4,1,3,7,6,5,4,0.3301670000768733,2000-02-04
3,4,4,4,5,9,1,10,1,0.3765520415588778,2000-01-25
6,3,0,7,4,5,0,3,1,0.7689408782898023,2000-01-09
7,3,10,7,4,4,7,9,4,0.22721649925998044,2000-01-02
3,5,3,8,8,5,9,0,1,0.19650353023692313,2000-01-22
5,7,3,8,2,10,6,4,9,0.5578117146924267,2000-02-10
0,10,8,2,3,5,0,4,9,0.7975360883046783,2000-01-22
4,5,1,1,10,2,9,10,4,0.35975538677805885,2000-01-26
2,7,3,8,3,4,4,0,3,0.43001623878080664,2000-02-09
5,9,0,6,0,9,2,2,10,0.19513971578747535,2000-01-01
10,8,4,3,10,8,3,7,10,0.13975847561588983,2000-01-09
10,1,7,2,8,3,3,3,7,0.7614437969586526,2000-02-08
10,3,5,10,5,2,3,6,7,0.3197048777775151,2000-02-02
2,3,0,6,0,2,3,0,0,0.6292689745628978,2000-02-01
3,10,3,10,1,6,8,10,7,0.8033885989515692,2000-02-05
5,3,4,2,1,7,4,5,5,0.9011885492767804,2000-02-07
6,9,9,0,7,2,2,2,2,0.7679428811278237,2000-01-17
10,5,3,10,5,1,2,9,0,0.8357706487059794,2000-01-15
2,5,9,7,6,7,3,4,6,0.6443003205964358,2000-02-17
4,9,10,3,10,1,2,7,9,0.6184035455680957,2000-02-15
10,1,5,9,1,8,5,7,9,0.7421389737808314,2000-02-07
4,2,5,1,9,2,10,0,8,0.5465765137744075,2000-02-05
7,5,8,5,5,5,8,3,10,0.3348156409529911,2000-01-31
6,3,2,3,6,1,5,5,5,0.544368663964038,2000-02-12
10,9,8,9,10,9,0,6,6,0.4271627438739526,2000-01-07
5,3,10,2,3,5,9,6,3,0.18001407316887008,2000-01-24
10,8,4,10,9,8,10,9,5,0.5255130721130372,2000-02-14
1,10,5,4,5,9,10,2,0,0.22518094487623574,2000-01-17
8,0,10,4,10,1,0,5,7,0.15885178520546084,2000-01-31
6,10,10,5,10,10,4,5,5,0.9585377083488281,2000-01-15
10,10,10,10,5,5,3,10,1,0.9319803909439938,2000-02-11
6,8,8,8,8,1,8,0,10,0.5229095316825054,2000-01-06
6,8,5,5,10,2,5,6,10,0.6033912504141601,2000-01-14
9,6,10,3,5,1,4,2,3,0.044960758136520895,2000-01-22
0,10,5,8,4,3,7,1,3,0.7923269685679922,2000-01-07
9,9,9,8,3,10,1,8,0,0.6831246241122961,2000-01-12
5,0,10,8,5,0,0,4,2,0.8804141593239295,2000-02-15
8,8,4,5,10,4,8,10,1,0.20431526140307865,2000-01-18
6,4,9,1,9,6,7,6,1,0.6025125476722392,2000-02-07
8,7,7,10,2,2,9,5,4,0.692941121280298,2000-02-17
2,6,2,2,0,4,8,9,2,0.7834369935431822,2000-01-14
5,5,10,6,3,9,9,5,9,0.9208434507365808,2000-02-13
0,7,3,7,8,10,1,6,3,0.7572855869720434,2000-01-16
10,10,3,0,6,3,0,0,7,0.32136156456278786,2000-01-20
7,10,3,1,8,10,0,6,4,0.14594101165075613,2000-01-23
1,4,8,4,6,10,7,0,3,0.8952683984978941,2000-01-20
6,0,1,9,3,7,6,1,2,0.24528986801573793,2000-02-07
5,2,2,5,9,5,1,2,4,0.2427238001198594,2000-01-26
3,7,4,5,8,7,3,3,5,0.12568196435864532,2000-01-23
9,4,5,0,2,2,1,3,7,0.9739354484097643,2000-02-13
1,1,4,3,6,2,1,5,2,0.8474835118010878,2000-01-04
6,2,3,2,3,4,4,7,7,0.9213733932697634,2000-02-07
5,7,3,2,8,4,9,6,1,0.966872091488453,2000-01-10
7,7,5,4,10,3,2,3,5,0.12574919819760189,2000-01-11
8,1,2,8,0,7,5,4,10,0.48977928179162067,2000-01-09
10,2,10,5,3,2,1,5,10,0.9098843219799829,2000-01-21
6,5,10,8,7,10,6,5,4,0.6149577296646457,2000-01-12
8,7,7,7,1,3,10,7,8,0.6511023563948838,2000-01-18
10,9,6,7,9,5,1,2,4,0.24126024758854514,2000-02-04
10,3,3,8,4,0,2,5,4,0.05814737505026035,2000-02-03
3,0,4,1,0,1,8,3,5,0.03605904803463611,2000-02-09
5,7,2,7,6,4,9,1,0,0.996387604969838,2000-02-02
1,0,0,0,1,6,6,1,6,0.07578623726174216,2000-01-23
7,7,10,9,6,5,3,7,4,0.9491747187907768,2000-02-16
2,8,5,7,5,6,5,1,4,0.7702314308189173,2000-01-21
9,8,8,6,6,9,9,8,9,0.024365316180438024,2000-01-02
3,2,3,3,3,1,6,3,2,0.10148029099984013,2000-02-15
1,10,1,8,2,3,3,5,3,0.6457283226873963,2000-02-16
5,4,9,3,4,5,6,4,10,0.6481979430689098,2000-02-18
6,1,4,5,3,1,3,7,3,0.1249150830143424,2000-01-01
5,5,5,3,8,10,6,8,2,0.3477146249303381,2000-01-14
0,9,4,5,3,10,5,1,2,0.8166885418138796,2000-01-20
8,0,5,0,2,9,0,3,2,0.46368282302051267,2000-01-01
5,6,0,5,0,10,3,10,4,0.8647586309139119,2000-02-01
1,6,4,7,6,7,10,5,10,0.30282883043248443,2000-01-14
4,1,3,2,8,3,7,3,8,0.04008197827493842,2000-01-18
1,8,8,10,2,1,3,1,0,0.8414190225039826,2000-01-28
7,9,0,6,5,9,2,4,10,0.22761029385356057,2000-01-24
5,4,8,4,6,6,0,9,1,0.42452581487506535,2000-02-15
5,5,0,1,10,2,8,9,3,0.7869879828315137,2000-01-27
4,8,9,7,8,7,10,7,8,0.5283505092305399,2000-01-25
2,5,0,3,3,8,7,8,2,0.5959510326143782,2000-02-18
2,9,2,8,7,5,8,7,3,0.36371602613201026,2000-01-06
8,9,7,6,9,7,9,5,3,0.9504776385621091,2000-01-21
5,1,5,3,1,1,7,8,7,0.3519323746561054,2000-01-26
1,5,8,4,10,8,3,5,5,0.40624519697820327,2000-02-14
10,4,0,1,9,9,3,10,4,0.41724397316670037,2000-01-28
10,8,6,9,9,2,6,8,4,0.6334748276576995,2000-02-20
8,2,10,7,4,0,8,2,6,0.32805548254539907,2000-02-08
10,6,7,4,1,0,6,3,7,0.3788073784392326,2000-01-15
7,5,9,3,5,10,8,2,1,0.13713634858131085,2000-02-12
1,9,4,9,5,0,3,2,8,0.08374003999552493,2000-01-05
1,1,8,9,3,3,3,8,5,0.38511890340259114,2000-02-04
3,5,6,4,3,1,0,6,5,0.6797948368294336,2000-01-10
7,9,6,2,9,9,7,7,2,0.9804858477255183,2000-01-30
0,8,10,9,9,7,9,8,6,0.29315951068019075,2000-01-17
5,8,0,8,0,10,5,8,0,0.1006107326401463,2000-01-23
7,9,10,1,5,8,2,2,6,0.48789518032032564,2000-01-14
7,7,6,10,1,1,0,5,3,0.5735904688668778,2000-02-07
5,6,10,3,8,3,5,9,0,0.3019762558591017,2000-01-24
2,1,5,5,0,9,10,1,1,0.3939970898411589,2000-01-09
3,8,8,10,10,0,2,3,3,0.10234503183768884,2000-01-11
1,2,4,2,0,1,8,10,2,0.15306292622190998,2000-01-27
0,0,5,1,4,0,4,8,1,0.6991943301774632,2000-02-06
4,3,8,2,4,8,3,0,9,0.9460404051090988,2000-01-13
8,1,6,5,0,0,7,4,9,0.9312568416331908,2000-01-02
5,6,5,5,4,5,4,10,5,0.6775581999565851,2000-02-16
9,8,6,9,5,10,6,10,4,0.2677115911992477,2000-01-16
10,0,10,5,10,1,2,7,9,0.9483750115595272,2000-02-07
6,3,10,3,2,10,10,8,7,0.19088526532085548,2000-02-10
6,5,9,2,2,8,9,5,7,0.25537385495710674,2000-02-19
6,8,1,8,2,0,9,5,7,0.8891178882536541,2000-01-21
3,9,1,9,2,4,2,2,7,0.5677527822719834,2000-02-18
10,0,6,0,6,10,9,10,9,0.5540472469734671,2000-01-30
10,5,10,1,1,2,1,5,9,0.37647243892923854,2000-01-04
7,1,1,7,8,10,3,2,6,0.0773109710769293,2000-01-25
9,1,7,2,2,9,4,4,7,0.19614430312145548,2000-01-05
5,7,5,8,6,2,4,1,2,0.09102803942154325,2000-02-01
5,4,6,4,9,1,8,9,1,0.18825673989745828,2000-02-11
3,7,2,10,3,3,9,3,5,0.4658647455805641,2000-01-18
9,6,10,10,2,2,4,5,5,0.19008295349567383,2000-02-16
1,3,0,1,8,10,6,2,9,0.7179720144014912,2000-01-14
5,5,7,7,6,8,3,3,8,0.6373755732408969,2000-02-03
2,2,5,0,8,10,1,9,10,0.803005416943321,2000-02-09
